days since 1-1-0000,YYYYMMDD,team1 index,homefield1,score1,team2 index,homefield2,score2
736573,20160901,    29,  1,  30,    41, -1,  23
736573,20160901,    46, -1,  13,    57,  1,  10
736574,20160902,    47,  1,  26,    21, -1,  13
736575,20160903,    15,  0,  17,     7,  0,  14
736575,20160903,    14,  0,  33,    35,  0,  24
736575,20160903,    63,  1,  26,    32, -1,  11
736575,20160903,     1,  0,  52,    55,  0,   6
736575,20160903,    52,  1,  31,    54, -1,  24
736575,20160903,     9, -1,  19,     5,  1,  13
736575,20160903,    64,  1,  16,    24, -1,  14
736575,20160903,    61,  1,  48,    45, -1,  13
736577,20160905,    13,  0,  45,    30,  0,  34
736581,20160909,    23, -1,  62,    48,  1,  28
736582,20160910,    60, -1,  24,    11,  1,  14
736582,20160910,    12,  1,  45,    22, -1,   7
736582,20160910,    43,  1,  42,    42, -1,  39
736582,20160910,    50,  0,  45,    59,  0,  24
736582,20160910,    18,  1,  42,    19, -1,   3
736582,20160910,    31,  1,  27,    46, -1,  14
736582,20160910,     4, -1,  41,    49,  1,  38
736582,20160910,    35, -1,  48,    16,  1,  23
736582,20160910,     3,  1,  68,    53, -1,  55
736582,20160910,    40,  1,  44,    58, -1,  26
736589,20160917,    15,  1,  38,    57, -1,   7
736589,20160917,    27,  1,  45,    10, -1,  28
736589,20160917,    59,  1,  49,     7, -1,   0
736589,20160917,    23,  1,  63,    13, -1,  20
736589,20160917,    52, -1,  29,     5,  1,  16
736589,20160917,    24,  1,  23,    31, -1,  20
736589,20160917,    14, -1,  28,    32,  1,  27
736589,20160917,    36,  1,  24,    11, -1,  13
736589,20160917,    39,  1,  45,    43, -1,  38
736589,20160917,    49,  1,  41,    19, -1,  20
736589,20160917,     1, -1,  48,    30,  1,  43
736589,20160917,    37, -1,  45,    38,  1,  24
736589,20160917,    34,  1,  35,    40, -1,  32
736589,20160917,     8,  1,  50,    51, -1,  43
736589,20160917,    47,  1,  27,    55, -1,  10
736594,20160922,     9, -1,  26,    15,  1,   7
736595,20160923,    56,  1,  31,    55, -1,  27
736596,20160924,    60, -1,  33,    17,  1,  28
736596,20160924,    22,  1,  17,    46, -1,  10
736596,20160924,    27,  1,  49,    42, -1,  10
736596,20160924,    35,  1,  37,    43, -1,  36
736596,20160924,    18, -1,  14,    45,  1,   7
736596,20160924,    64, -1,  30,    28,  1,   6
736596,20160924,    50,  1,  38,    12, -1,  28
736596,20160924,    34, -1,  24,    36,  1,  13
736596,20160924,    30,  1,  45,    14, -1,  14
736596,20160924,    52,  0,  45,     4,  0,  24
736596,20160924,     5,  1,  18,    24, -1,  13
736596,20160924,     6,  1,  35,    39, -1,  24
736596,20160924,    61, -1,  35,     2,  1,  28
736596,20160924,     3,  1,  51,     8, -1,  41
736596,20160924,    10, -1,  41,    40,  1,  38
736596,20160924,    47, -1,  22,    54,  1,  13