index,team,conference
  1, Alabama,SEC
   2, Arizona,PAC12
   3, Arizona_St,PAC12
   4, Arkansas,SEC
   5, Auburn,SEC
   6, Baylor,BIG12
   7, Boston_College,ACC
   8, California,PAC12
   9, Clemson,ACC
  10, Colorado,PAC12
  11, Duke,ACC
  12, Florida,SEC
  13, Florida_St,ACC
  14, Georgia,SEC
  15, Georgia_Tech,ACC
  16, Illinois,BIG10
  17, Indiana,BIG10
  18, Iowa,BIG10
  19, Iowa_St,BIG12
  20, Kansas,BIG12
  21, Kansas_St,BIG12
  22, Kentucky,SEC
  23, Louisville,ACC
  24, LSU,SEC
  25, Maryland,BIG10
  26, Miami_FL,ACC
  27, Michigan,BIG10
  28, Michigan_St,BIG10
  29, Minnesota,BIG10
  30, Mississippi,SEC
  31, Mississippi_St,SEC
  32, Missouri,SEC
  33, NC_State,ACC
  34, Nebraska,BIG10
  35, North_Carolina,ACC
  36, Northwestern,BIG10
  37, Ohio_St,BIG10
  38, Oklahoma,BIG12
  39, Oklahoma_St,BIG12
  40, Oregon,PAC12
  41, Oregon_St,PAC12
  42, Penn_St,BIG10
  43, Pittsburgh,ACC
  44, Purdue,BIG10
  45, Rutgers,BIG10
  46, South_Carolina,SEC
  47, Stanford,PAC12
  48, Syracuse,ACC
  49, TCU,BIG12
  50, Tennessee,SEC
  51, Texas,BIG12
  52, Texas_A&M,SEC
  53, Texas_Tech,BIG12
  54, UCLA,PAC12
  55, USC,PAC12
  56, Utah,PAC12
  57, Vanderbilt,SEC
  58, Virginia,ACC
  59, Virginia_Tech,ACC
  60, Wake_Forest,ACC
  61, Washington,PAC12
  62, Washington_St,PAC12
  63, West_Virginia,BIG12
  64, Wisconsin,BIG10